Iteration,Function Value
0,5050.0
1,702.7587890625
2,469.16618251582844
3,383.21119440812436
4,344.0034947042438
5,333.09294942810106
6,309.92874780712845
7,275.15789524552906
8,230.07924408893325
9,185.55457099919144
10,155.31198477111568
11,112.89309770843171
12,83.77423406452365
13,64.92425581040324
14,52.65690373389603
15,44.26846418560684
16,41.7913783102229
17,38.92778668949079
18,35.71614443658188
19,32.18404986007581
20,28.44582827341649
21,24.75395340956912
22,21.435772967149358
23,18.72850985486639
24,16.66117696739384
25,15.094918486195304
26,13.846328238922492
27,12.769475167985428
28,11.771366662660258
29,10.798036855495365
30,9.820880952663437
31,8.831456646084408
32,7.841824599045576
33,6.883590288953225
34,5.999255714996242
35,5.225840027586447
36,4.579898532290497
37,4.05424447367957
38,3.626503120316081
39,3.2706545449901365
40,2.964306831301089
41,2.6907923225780723
42,2.4384889647875885
43,2.1995229318056864
44,1.9688238456938945
45,1.7437636858068666
46,1.5243369533458366
47,1.313661650059674
48,1.1182141273273023
49,0.9467428937194102
50,0.8070376686608145
51,0.701641879836666
52,0.625878518973
53,0.5702921196354748
54,0.525083209547675
55,0.48265133958135414
56,0.43743040020502977
57,0.3848757098658598
58,0.32206572907204944
59,0.25213021871731295
60,0.18937396324690733
61,0.15007623462257105
62,0.13308209790008993
63,0.10928335313208885
64,0.10400688084038837
65,0.09753895695484541
66,0.088743242858917
67,0.07568032245368131
68,0.056609347318843165
69,0.03665856880418942
70,0.02709945160640556
71,0.018576529263022067
72,0.01499505730526994
73,0.013361728263087857
74,0.012437960354649474
