Iteration,Function Value
0,-1343.131864074099
1,-1344.0509703547648
2,-1344.96981005749
3,-1345.8883786281017
4,-1346.8066715450711
5,-1347.7246843293187
6,-1348.6424125537146
7,-1349.5598518522036
8,-1350.476997928493
9,-1351.3938465642382
10,-1352.310393626686
11,-1353.2266350757143
12,-1354.1425669702521
13,-1355.058185474036
14,-1355.973486860691
15,-1356.888467518125
16,-1357.8031239522286
17,-1358.7174527898896
18,-1359.6314507813274
19,-1360.5451148017735
20,-1361.4584418525094
21,-1362.3714290613025
22,-1363.2840736822643
23,-1364.1963730951697
24,-1365.1083248042758
25,-1366.019926436685
26,-1366.931175740287
27,-1367.8420705813294
28,-1368.75260894166
29,-1369.6627889156725
30,-1370.5726087070177
31,-1371.4820666250957
32,-1372.3911610813905
33,-1373.2998905856623
34,-1374.2082537420529
35,-1375.1162492451158
36,-1376.0238758758135
37,-1376.9311324975054
38,-1377.8380180519455
39,-1378.7445315553184
40,-1379.6506720943275
41,-1380.556438822355
42,-1381.4618309557052
43,-1382.366847769945
44,-1383.2714885963508
45,-1384.1757528184717
46,-1385.0796398688117
47,-1385.983149225639
48,-1386.8862804099233
49,-1387.789032982407
50,-1388.6914065408025
51,-1389.5934007171297
52,-1390.4950151751746
53,-1391.3962496080865
54,-1392.2971037360917
55,-1393.1975773043387
56,-1394.097670080859
57,-1394.9973818546437
58,-1395.8967124338342
59,-1396.795661644018
60,-1397.6942293266286
61,-1398.592415337445
62,-1399.4902195451796
63,-1400.3876418301647
64,-1401.284682083113
65,-1402.1813402039647
66,-1403.077616100809
67,-1403.9735096888737
68,-1404.8690208895844
69,-1405.7641496296876
70,-1406.6588958404272
71,-1407.5532594567833
72,-1408.447240416755
73,-1409.340838660698
74,-1410.2340541307008
75,-1411.1268867700082
76,-1412.0193365224761
77,-1412.911403332071
78,-1413.803087142394
79,-1414.694387896242
80,-1415.5853055351927
81,-1416.4758399992186
82,-1417.365991226323
83,-1418.2557591522002
84,-1419.145143709914
85,-1420.0341448295953
86,-1420.9227624381597
87,-1421.8109964590353
88,-1422.6988468119093
89,-1423.586313412487
90,-1424.4733961722604
91,-1425.3600949982906
92,-1426.2464097929983
93,-1427.1323404539633
94,-1428.0178868737335
95,-1428.903048939639
96,-1429.7878265336165
97,-1430.6722195320344
98,-1431.5562278055304
99,-1432.439851218846
100,-1433.323089630672
101,-1434.205942893495
102,-1435.0884108534474
103,-1435.9704933501619
104,-1436.852190216627
105,-1437.7335012790475
106,-1438.614426356705
107,-1439.4949652618216
108,-1440.3751177994257
109,-1441.2548837672173
110,-1442.1342629554392
111,-1443.0132551467452
112,-1443.891860116069
113,-1444.7700776305005
114,-1445.6479074491551
115,-1446.5253493230487
116,-1447.4024029949724
117,-1448.279068199366
118,-1449.155344662197
119,-1450.031232100833
120,-1450.906730223921
121,-1451.7818387312634
122,-1452.6565573136966
123,-1453.5308856529678
124,-1454.4048234216139
125,-1455.2783702828403
126,-1456.1515258903987
127,-1457.0242898884678
128,-1457.8966619115301
129,-1458.7686415842543
130,-1459.640228521371
131,-1460.5114223275564
132,-1461.3822225973088
133,-1462.2526289148295
134,-1463.1226408539019
135,-1463.9922579777726
136,-1464.8614798390277
137,-1465.7303059794745
138,-1466.5987359300211
139,-1467.4667692105515
140,-1468.3344053298085
141,-1469.2016437852683
142,-1470.0684840630197
143,-1470.93492563764
144,-1471.8009679720733
145,-1472.6666105175038
146,-1473.5318527132322
147,-1474.396693986549
148,-1475.2611337526098
149,-1476.1251714143032
150,-1476.9888063621265
151,-1477.8520379740528
152,-1478.7148656153997
153,-1479.5772886386974
154,-1480.4393063835537
155,-1481.300918176518
156,-1482.1621233309438
157,-1483.0229211468497
158,-1483.8833109107766
159,-1484.743291895645
160,-1485.6028633606097
161,-1486.462024550911
162,-1487.3207746977264
163,-1488.1791130180138
164,-1489.0370387143603
165,-1489.8945509748219
166,-1490.751648972762
167,-1491.608331866689
168,-1492.464598800088
169,-1493.3204489012503
170,-1494.1758812831013
171,-1495.0308950430206
172,-1495.885489262664
173,-1496.7396630077772
174,-1497.5934153280084
175,-1498.4467452567155
176,-1499.2996518107707
177,-1500.1521339903584
178,-1501.0041907787718
179,-1501.8558211422028
180,-1502.7070240295277
181,-1503.5577983720918
182,-1504.40814308348
183,-1505.2580570592945
184,-1506.107539176918
185,-1506.9565882952752
186,-1507.8052032545913
187,-1508.6533828761399
188,-1509.5011259619896
189,-1510.348431294742
190,-1511.1952976372681
191,-1512.0417237324327
192,-1512.8877083028176
193,-1513.7332500504365
194,-1514.578347656444
195,-1515.4229997808386
196,-1516.267205062158
197,-1517.1109621171674
198,-1517.9542695405437
199,-1518.7971259045496
200,-1519.639529758702
201,-1520.481479629432
202,-1521.322974019739
203,-1522.1640114088364
204,-1523.00459025179
205,-1523.844708979147
206,-1524.68436599656
207,-1525.5235596843984
208,-1526.3622883973571
209,-1527.2005504640524
210,-1528.0383441866097
211,-1528.8756678402456
212,-1529.7125196728377
213,-1530.5488979044862
