Iteration,Function Value
0,-1343.131864074099
1,-1748.2907889485596
2,-1785.3016659231557
3,-1803.3517813158887
4,-1839.164937505378
5,-1856.1540189482994
6,-1887.3575655378622
7,-1902.339444131053
8,-1930.5456096398532
9,-1947.1169320362146
10,-1959.428052040309
11,-1990.5699659791276
12,-2015.7432413488082
13,-2018.0511378374488
14,-2041.4082739416451
15,-2044.3463524648496
16,-2066.0075069249574
17,-2069.519855587755
18,-2091.1106188398117
19,-2109.2319037658954
20,-2136.81446800629
21,-2144.8575224940178
22,-2158.1006587957563
23,-2175.915492790442
24,-2185.1307415296124
25,-2198.4516520563075
26,-2205.655073546773
27,-2214.4997009999433
28,-2219.6088302703924
29,-2225.4133071379306
30,-2233.9083958495344
31,-2238.5811846056
32,-2241.2893883877136
33,-2247.6367407696903
34,-2250.3281274417614
35,-2257.698080798305
36,-2259.6701980103203
37,-2263.918928794666
38,-2268.8422089537353
39,-2274.721228702336
40,-2279.8851778493727
41,-2282.8008713150316
42,-2285.748870305277
43,-2286.7918598941114
44,-2289.578332785479
45,-2292.07280186364
46,-2295.1556738311
47,-2296.6012379624653
48,-2299.9561581901216
49,-2302.30823118004
50,-2304.1910779557343
51,-2306.414810039637
52,-2308.979510300233
53,-2312.329355087957
54,-2315.3109562567506
55,-2318.696574363828
56,-2319.706115983513
57,-2321.803227028106
58,-2322.5373988974616
59,-2324.9985814934707
60,-2326.246362213894
61,-2327.8821844748018
62,-2328.9363696705764
63,-2330.6971096556726
64,-2332.0928266627616
65,-2334.1394602299215
66,-2335.1896784989244
67,-2337.500536181169
68,-2338.390874761093
69,-2340.083629742878
70,-2340.9594970776593
71,-2342.536122838867
72,-2343.386925709577
73,-2344.703073565867
74,-2345.4632955494835
75,-2346.7085803152663
76,-2347.4257412214292
77,-2348.6349719395953
78,-2349.322801723108
79,-2350.510076796353
80,-2351.1807276553122
81,-2352.348005315472
82,-2353.0084896613644
83,-2354.1478808765323
84,-2354.7965093763196
85,-2355.904091509192
86,-2356.538283846304
87,-2357.6145998480397
88,-2358.233811762004
89,-2359.2800178200996
90,-2359.8845622742256
91,-2360.901358312575
92,-2361.491612311249
93,-2362.479505889745
94,-2363.055815123883
95,-2364.0153214171596
96,-2364.5780471653084
97,-2365.5097065004666
98,-2366.0592340309336
99,-2366.963595096587
100,-2367.500324085472
101,-2368.377941101209
102,-2368.90228067702
103,-2369.75371576731
104,-2370.26608373574
105,-2371.091906750273
106,-2371.5927290554755
107,-2372.3935146117246
108,-2372.8832240456504
109,-2373.659546954776
110,-2374.1385814752675
111,-2374.8910110233974
112,-2375.359812109413
113,-2376.088905263239
114,-2376.5479166717314
115,-2377.2542100742257
116,-2377.703877365985
117,-2378.38787765806
118,-2378.82864883882
119,-2379.490820284354
120,-2379.923147805371
121,-2380.563895329783
122,-2380.98823942046
123,-2381.607883828634
124,-2382.0247164140374
125,-2382.623456485736
126,-2383.0332629681543
127,-2383.6111162147618
128,-2384.014386882362
129,-2384.571098084396
130,-2384.968285337266
131,-2385.5031968981016
132,-2385.894570640723
133,-2386.4064960169017
134,-2386.791711480336
135,-2387.279086214629
136,-2387.656015924501
137,-2388.1185088773263
138,-2388.480747301482
139,-2388.9257842274055
140,-2389.2610902848896
141,-2389.7158996023522
142,-2390.3810675553077
143,-2391.1224780599064
144,-2391.592932871007
145,-2391.866152755437
146,-2392.5276238934157
147,-2393.062518770381
148,-2393.305813428172
149,-2393.8131613988758
150,-2394.0525662331866
151,-2394.501646176383
152,-2394.7236198316255
153,-2395.1538477058707
154,-2395.558761776717
155,-2396.1090568706295
156,-2396.492006000034
157,-2396.8381944187145
158,-2397.1547867897907
159,-2397.601292713813
160,-2397.972986028402
161,-2398.305427141398
162,-2398.65299743818
163,-2399.0360039422876
164,-2399.16073035292
165,-2399.588405954225
166,-2399.971534874302
167,-2400.3325724546175
168,-2400.5418120285117
169,-2400.8248134239834
170,-2401.1048478424955
171,-2401.440862526262
172,-2401.779205523866
173,-2402.031699130692
174,-2402.3846960791006
175,-2402.681219280976
176,-2402.8437103625984
177,-2403.0610346733542
178,-2403.3970843198604
179,-2403.678624074413
180,-2403.8372130534704
181,-2404.0296849011
182,-2404.3594034694306
183,-2404.619073934665
184,-2404.757866465061
185,-2404.9283966412586
186,-2405.267647716311
187,-2405.497004551401
188,-2405.7463786891576
189,-2406.0367513786223
190,-2406.131788608289
191,-2406.2542763744636
192,-2406.615754773489
193,-2406.827779191971
194,-2407.132443392706
195,-2407.345413057662
196,-2407.5627503359156
197,-2407.862734205123
198,-2408.1572498385513
199,-2408.2792264058826
200,-2408.5619112257327
201,-2408.7502005636507
202,-2408.959227178869
203,-2409.160401144659
204,-2409.453693044551
205,-2409.7375100903446
206,-2412.3017587223612
207,-2413.2808181301766
208,-2413.680027672376
209,-2413.91387399603
210,-2414.1848790509143
211,-2414.402489873414
212,-2414.935287427967
213,-2415.3291435515034
214,-2415.4269441733627
215,-2415.8308140852228
216,-2416.067240475556
217,-2416.302466065875
218,-2416.430935089379
219,-2416.5873231361174
220,-2416.7399519027385
221,-2417.04145495364
222,-2417.23128823257
223,-2417.47428142459
224,-2417.589454119841
225,-2417.7361818927984
226,-2417.8535926004333
227,-2418.154357187792
228,-2418.319881321665
229,-2418.5515129084133
230,-2418.6497308764424
231,-2418.793033503327
232,-2418.8750262988583
233,-2419.178098267111
234,-2419.319675832522
235,-2419.542475143093
236,-2419.625043216128
237,-2419.7653448162914
238,-2419.8163514386933
239,-2420.119882757206
240,-2420.238976008087
241,-2420.4541983618146
242,-2420.5229275066486
243,-2420.6598480802913
244,-2420.750301427298
245,-2420.856860445533
246,-2420.9025118576005
247,-2421.176930000314
248,-2421.289897430841
249,-2421.4775590249974
250,-2421.5343576547093
251,-2421.663104260225
252,-2421.740274476967
253,-2421.8409566183263
254,-2421.919271172981
255,-2422.01481304306
256,-2422.092876699837
257,-2422.1851164331
258,-2422.2618987752294
259,-2422.352092198712
260,-2422.4271680689417
261,-2422.515869460268
262,-2422.5890337999817
263,-2422.6765444223593
264,-2422.7477140903466
265,-2422.8341968428695
266,-2422.9033517974167
267,-2422.9888978256113
268,-2423.056051937475
269,-2423.1407133910197
270,-2423.2058984635023
271,-2423.2897063222517
272,-2423.3529633749595
273,-2423.435937147309
274,-2423.4973116189603
275,-2423.579464675601
276,-2423.6390037924702
277,-2423.7203462943694
278,-2423.778097636136
279,-2423.85863813383
280,-2423.914648861617
281,-2423.99439516009
282,-2424.0487116093927
283,-2424.1276712284334
284,-2424.180338702058
285,-2424.2585191150793
286,-2424.309581784909
287,-2424.38699053748
288,-2424.4364914049197
289,-2424.5131361687436
290,-2424.561117056412
291,-2424.6370056492715
292,-2424.6835072090785
293,-2424.7586475972676
294,-2424.803709326916
295,-2424.8781096190423
296,-2424.921769882733
297,-2424.995438319554
298,-2425.037734370706
299,-2425.1106793134077
300,-2425.151647318301
301,-2425.2238772364162
302,-2425.2635522981973
303,-2425.3350757577145
304,-2425.373491940514
305,-2425.4443175924234
306,-2425.4815079454806
307,-2425.5516445148014
308,-2425.587641096533
309,-2425.6570973718526
310,-2425.6919312738482
311,-2425.760716097316
312,-2425.794417468243
313,-2425.862539725994
314,-2425.895137795398
315,-2425.9626064083577
316,-2425.9941295103413
317,-2426.0609534253913
318,-2426.0914290221435
319,-2426.157617203613
320,-2426.187071908769
321,-2426.25263333024
322,-2426.281092932053
323,-2426.3460365684573
324,-2426.3735260527465
325,-2426.437860872752
326,-2426.464404445602
327,-2426.5281394042822
328,-2426.5537605144755
329,-2426.6169045462493
330,-2426.641625907405
331,-2426.7041879192566
332,-2426.7280315316475
333,-2426.7900203966215
334,-2426.813007568661
335,-2426.87443211962
336,-2426.8965834889914
337,-2426.9574525126613
338,-2426.9787880670783
339,-2427.03911029836
340,-2427.05964939594
341,-2427.119433512495
342,-2427.139194901739
343,-2427.1984495188563
344,-2427.2174513582177
345,-2427.276185023949
346,-2427.2944449009888
347,-2427.3526660915604
348,-2427.370201041679
349,-2427.4279181571746
350,-2427.444744681914
351,-2427.5019660422336
352,-2427.518100127144
353,-2427.574833968224
354,-2427.5902911002986
355,-2427.646545570602
356,-2427.6613407552686
357,-2427.7171239125423
358,-2427.7312716902147
359,-2427.786591498495
360,-2427.800105960692
361,-2427.85497028757
362,-2427.8678650925854
363,-2427.9222817067207
364,-2427.9345700948656
365,-2427.9885466637406
366,-2428.000241472144
367,-2428.0537855600573
368,-2428.064899237037
369,-2428.118018303324
370,-2428.1285629223303
371,-2428.181264319811
372,-2428.191251592946
373,-2428.2435425665826
374,-2428.252983857699
375,-2428.304871543466
376,-2428.327550412114
377,-2428.349897470557
378,-2428.373447974189
379,-2428.4072566368473
380,-2428.4259645025886
381,-2428.4651919610587
382,-2428.478680196975
383,-2428.52259166746
384,-2428.532753039151
385,-2428.579392103357
386,-2428.600525526127
387,-2428.621340089594
388,-2428.643591829846
389,-2428.674758839661
390,-2428.692028542045
391,-2428.728654179824
392,-2428.7405292855865
393,-2428.7820817228517
394,-2428.790409797019
395,-2428.834998772025
396,-2428.8548488835163
397,-2428.873553457993
398,-2428.894630314031
399,-2428.9241139947103
400,-2428.9394766916057
401,-2428.9743454915892
402,-2428.984359557114
403,-2429.0241645284123
404,-2429.0429425036473
405,-2429.061064368142
406,-2429.0812410661874
407,-2429.1085409386405
408,-2429.1233845295264
409,-2429.1560545720945
410,-2429.165348249476
411,-2429.2031897632305
412,-2429.22106668232
413,-2429.237942470215
414,-2429.257293312547
415,-2429.283267911211
416,-2429.2969979023883
417,-2429.328272667448
418,-2429.336452800896
419,-2429.372930459648
420,-2429.3899815325676
421,-2429.4055493267483
422,-2429.424129645006
423,-2429.4490030259476
424,-2429.461561221581
425,-2429.49166109477
426,-2429.4987074411465
427,-2429.534001380992
428,-2429.5502807369407
429,-2429.5645930847463
430,-2429.5824493177656
431,-2429.6063172865724
432,-2429.61775068707
433,-2429.646772373219
434,-2429.662244451833
